REFDES,COMP_DEVICE_TYPE,COMP_VALUE,COMP_TOL,SYM_NAME,SYM_X,SYM_Y,SYM_ROTATE,SYM_MIRROR
DB20,TVS_2X_D0603_DISCRETE_PGB1010603NR,PGB1010603NR,,D0603,206.9585,7.0547,270,YES
DB21,TVS_2X_D0603_DISCRETE_PGB1010603NR,PGB1010603NR,,D0603,208.7365,7.024,270,YES
DB22,TVS_2X_D0603_DISCRETE_PGB1010603NR,PGB1010603NR,,D0603,205.1903,7.0096,270,YES
DB23,TVS_2X_D0603_DISCRETE_PGB1010603NR,PGB1010603NR,,D0603,203.3978,7.0096,270,YES
LB1,IND_INDC2013X105N_1 UH,1 uH,,INDC2013X105N,219.8904,130.6062,270,YES
LB2,IND_INDC2013X105N_1 UH,1 uH,,INDC2013X105N,201.5008,130.5554,270,YES
LB3,IND_INDC2013X105N_1 UH,1 uH,,INDC2013X105N,182.9588,130.53,270,YES
LB4,IND_INDC2013X105N_1 UH,1 uH,,INDC2013X105N,226.8764,126.9256,180,YES
LB5,IND_INDC2013X105N_1 UH,1 uH,,INDC2013X105N,208.4868,126.8748,180,YES
LB6,IND_INDC2013X105N_1 UH,1 uH,,INDC2013X105N,189.9448,126.8494,180,YES
DB1,LED_LEDC1608X80N_LTST-S270KGKT,LTST-S270KGKT,,LEDC1608X80N,225.8698,164.592,0,YES
DB2,LED_LEDC1608X80N_LTST-S270KGKT,LTST-S270KGKT,,LEDC1608X80N,218.4218,164.592,0,YES
DB3,LED_GREEN0603,LTST-S270KGKT,,LEDC1608X80N,207.4802,164.5412,180,YES
DB4,LED_LEDC1608X80N_LTST-S270KGKT,LTST-S270KGKT,,LEDC1608X80N,200.0322,164.5412,0,YES
DB5,LED_LEDC1608X80N_LTST-S270KGKT,LTST-S270KGKT,,LEDC1608X80N,189.0014,164.5158,0,YES
DB6,LED_LEDC1608X80N_LTST-S270KGKT,LTST-S270KGKT,,LEDC1608X80N,181.4902,164.5158,0,YES
DB8,LED_LEDC1608X80N_LTST-S270KGKT,LTST-S270KGKT,,LEDC1608X80N,61.1772,164.5142,180,YES
DB9,LED_LEDC1608X80N_LTST-S270KGKT,LTST-S270KGKT,,LEDC1608X80N,55.64,164.5142,180,YES
DB10,LED_LEDC1608X80N_LTST-S270KGKT,LTST-S270KGKT,,LEDC1608X80N,49.3408,164.5142,0,YES
DB11,LED_LEDC1608X80N_LTST-S270KGKT,LTST-S270KGKT,,LEDC1608X80N,43.9278,164.5142,0,YES
DB12,LED_LEDC1608X80N_LTST-S270KGKT,LTST-S270KGKT,,LEDC1608X80N,38.5148,164.5142,0,YES
DB13,LED_LEDC1608X80N_LTST-S270KGKT,LTST-S270KGKT,,LEDC1608X80N,33.1018,164.5142,0,YES
DB14,LED_LEDC1608X80N_LTST-S270KGKT,LTST-S270KGKT,,LEDC1608X80N,27.6888,164.5142,0,YES
DB15,LED_LEDC1608X80N_LTST-S270KGKT,LTST-S270KGKT,,LEDC1608X80N,22.2758,164.5142,0,YES
DB16,LED_LEDC1608X80N_LTST-S270KGKT,LTST-S270KGKT,,LEDC1608X80N,16.8628,164.5142,0,YES
DB17,LED_LEDC1608X80N_LTST-S270KGKT,LTST-S270KGKT,,LEDC1608X80N,66.9674,164.4904,0,YES
DB7,LED_LEDC1608X80N_LTST-S270KRKT,LTST-S270KRKT,,LEDC1608X80N,72.2516,164.5142,180,YES
RB15,R_RES0402_0,0,,RES0402,141.4526,144.7841,0,YES
RB36,R_RES0402_0,0,,RES0402,63.0428,123.5202,270,YES
RB39,R_RES0402_0,0,,RES0402,12.192,123.513,270,YES
RB78,R_RES0402_0,0,,RES0402,132.878,86.5673,0,YES
RB86,R_RES0402_0,0,,RES0402,62.1538,78.936,270,YES
RB88,R_RES0402_0,0,,RES0402,132.6162,73.8863,0,YES
RB90,R_RES0402_0,0,,RES0402,132.6162,72.9973,0,YES
RB18,R_RES0603_0 OHM,0 Ohm,,RES0603,223.6104,138.7842,90,YES
RB22,R_RES0603_0 OHM,0 Ohm,,RES0603,205.1812,138.7348,90,YES
RB69,R_RES0603_0 OHM,0 Ohm,,RES0603,124.9426,89.3826,90,YES
RB113,R_RES0603_0 OHM,0 Ohm,,RES0603,236.7886,16.792,270,YES
RB114,R_RES0603_0 OHM,0 Ohm,,RES0603,235.2264,16.792,270,YES
RB115,R_RES0603_0 OHM,0 Ohm,,RES0603,233.6432,16.792,270,YES
RB116,R_RES0603_100 OHM,100 Ohm,,RES0603,70.7206,13.7088,270,YES
