REFDES,COMP_DEVICE_TYPE,COMP_VALUE,COMP_TOL,SYM_NAME,SYM_X,SYM_Y,SYM_ROTATE,SYM_MIRROR
RT116,R_RES0603_10K,10K,,RES0603,170.1262,52.324,90,NO
RT119,R_RES0603_10K,10K,,RES0603,167.5638,49.4832,180,NO
RT140,R_RES0603_10K,10K,,RES0603,157.8672,30.7458,0,NO
RT146,R_RES0603_10K,10K,,RES0603,157.8672,29.1992,0,NO
RT148,R_RES0603_10K,10K,,RES0603,145.4739,25.7382,180,NO
RT149,R_RES0603_10K,10K,,RES0603,157.4038,25.6658,180,NO
RT7,R_RES0603_10M,10M,,RES0603,236.22,153.289,270,NO
RT42,R_RES0603_130 OHM,130 Ohm,,RES0603,176.7199,107.4572,270,NO
RT47,R_RES0603_130 OHM,130 Ohm,,RES0603,176.7199,104.3156,90,NO
RT56,R_RES0603_174 OHM,174 Ohm,,RES0603,183.4388,98.593,0,NO
RT57,R_RES0603_174 OHM,174 Ohm,,RES0603,177.1396,98.5799,180,NO
RT1,R_RES0603_1K,1K,,RES0603,55.4876,162.5346,90,NO
RT2,R_RES0603_1K,1K,,RES0603,61.0248,162.5346,90,NO
RT3,R_RES0603_1K,1K,,RES0603,72.0992,162.5346,90,NO
RT73,R_RES0603_2.2K,2.2K,,RES0603,197.2056,87.884,270,NO
RT74,R_RES0603_2.2K,2.2K,,RES0603,198.755,87.884,270,NO
RT154,R_RES0603_24.9 OHM,24.9 Ohm,,RES0603,202.7682,11.303,90,NO
RT155,R_RES0603_24.9 OHM,24.9 Ohm,,RES0603,204.7494,11.303,90,NO
RT156,R_RES0603_24.9 OHM,24.9 Ohm,,RES0603,206.756,11.303,90,NO
RT157,R_RES0603_24.9 OHM,24.9 Ohm,,RES0603,208.788,11.303,90,NO
RT71,R_RES0603_249 OHM,249 Ohm,,RES0603,145.542,89.154,90,NO
RT93,R_RES0603_249 OHM,249 Ohm,,RES0603,140.6243,74.1903,90,NO
RT51,R_RES0603_4.7K,4.7K,,RES0603,233.9548,102.108,270,NO
RT32,R_RES0603_4.99K,4.99K,,RES0603,27.5082,121.2088,90,NO
