#Feeder,Feeder ID,Type,Nozzle,X,Y,Angle,Footprint,Value,Pick height,Pick delay,Place Height,Place Delay,Vacuum detection,Threshold,Vision Alignment,Speed,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
comp,2,4,CT115,0.1UF,CAP1206,209.770,78.900,0,Yes,,,,,,,,,,,,,,,,,,,,
comp,1,1,CT155,0.1UF,CAP0603,226.530,54.410,180,Yes,,,,,,,,,,,,,,,,,,,,
comp,1,3,CT150,0.1UF,CAP0603,226.530,55.960,180,Yes,,,,,,,,,,,,,,,,,,,,
comp,1,4,CT148,0.1UF,CAP0603,226.530,57.740,180,Yes,,,,,,,,,,,,,,,,,,,,
comp,1,1,CT147,0.1UF,CAP0603,226.530,59.260,180,Yes,,,,,,,,,,,,,,,,,,,,
comp,1,3,CT145,0.1UF,CAP0603,226.530,60.950,180,Yes,,,,,,,,,,,,,,,,,,,,
comp,1,4,CT142,0.1UF,CAP0603,226.530,62.460,180,Yes,,,,,,,,,,,,,,,,,,,,
comp,1,1,CT158,0.1UF,CAP0603,228.990,51.460,-90,Yes,,,,,,,,,,,,,,,,,,,,
comp,1,2,CT135,0.1UF,CAP0603,228.110,66.230,90,Yes,,,,,,,,,,,,,,,,,,,,
comp,1,3,CT159,0.1UF,CAP0603,230.510,51.460,-90,Yes,,,,,,,,,,,,,,,,,,,,
comp,1,2,CT136,0.1UF,CAP0603,229.630,66.230,90,Yes,,,,,,,,,,,,,,,,,,,,
comp,1,4,CT160,0.1UF,CAP0603,232.410,51.460,-90,Yes,,,,,,,,,,,,,,,,,,,,
comp,2,1,CT79,0.1UF,CAP1206,209.590,115.610,0,Yes,,,,,,,,,,,,,,,,,,,,
comp,1,1,CT161,0.1UF,CAP0603,233.930,51.470,-90,Yes,,,,,,,,,,,,,,,,,,,,
comp,1,3,CT162,0.1UF,CAP0603,235.830,51.470,-90,Yes,,,,,,,,,,,,,,,,,,,,
comp,1,4,CT163,0.1UF,CAP0603,237.340,51.470,-90,Yes,,,,,,,,,,,,,,,,,,,,
comp,2,3,CT27,0.1UF,CAP1206,159.770,160.040,0,Yes,,,,,,,,,,,,,,,,,,,,
comp,2,4,CT67,0.1UF,CAP1206,209.590,124.080,0,Yes,,,,,,,,,,,,,,,,,,,,
comp,1,1,CT151,0.1UF,CAP0603,239.980,55.750,0,Yes,,,,,,,,,,,,,,,,,,,,
comp,1,3,CT149,0.1UF,CAP0603,239.970,57.270,0,Yes,,,,,,,,,,,,,,,,,,,,
comp,1,4,CT146,0.1UF,CAP0603,241.380,60.290,180,Yes,,,,,,,,,,,,,,,,,,,,
